name,title,star,contents,date
디바 제시카의 왕초보 영어 따라잡기,영어 재미있습니다 ㅎ,5점,신나게 영어를 배울 수 있네요 ㅎ,2022.09.26
교사를 위한 교실 밖 여행인문학,이제 해외가 아닌 국내로,5점,"해외여행을 갈생각이 들어가고 아 맞아 우리나라도 갈곳 정말 많았구나 하는 생각이 들게 하는 연수였습니다. 무식코 가기만 하던 각 지역을 갈곳과 유명한 먹거리를 따로 설명해주어서 좋은 연수 였습니다.
특히아 영양교사인 저에겐 아이들에게 각 지역에서 유명한 음식을 급식에 어떻게 하면 적용할 수 있을까 하는 생각을 많이 하게 하는 연수입니다.",2022.09.26
"나이와 신분을 초월한 독립운동, 그 현장을 읽다",연수 어려웠어요.,4점,"연수 내용이 어려웠어요.
앞으로 더 열심히 공부해야겠습니다.
좋은 연수였습니다.
감사합니다.",2022.09.26
정훈쌤의 뚝딱 칼림바,힐링에서 취미까지,5점,"칼림바는 악보 보는 것을 어려워하는 아이들도 1, 2, 3 번호로 익힐 수 있고 소리가 잘 나니 배움의 진입 장벽이 매우 낮습니다. 휴대가 간편하고 소리가 아름다워 실로 코로나 시대 최고의 악기라고 봅니다. 연수는 다장조 곡부터 음악 이론과 함께 단계적으로 연습하도록 구성되어 있어 좋았습니다. 전체적인 구성과 느낌을 보려고 눈을 감고 감상을 할 때는 힐링의 시간이 되기도 했습니다. 쉬운 앞부분은 앞으로 아이들 지도에 활용하고, 난이도가 좀 높아지는 뒷부분은 연수가 끝나도 제가 따로 심화 과정처럼 꾸준히 연습하여 멋진 취미생활을 할 수 있을 것 같습니다. 악기 연주도 스포츠처럼 기본기를 튼튼히 다지면서 매일 조금씩 연습해 나가는 것이 중요하니 이제부터는 저의 몫이겠지요.",2022.09.25
"상상을 실천으로, 삶을 바꾸는 사회 수업 이야기",재밌게 보았습니다!,5점,사회과 수업에 잘 활용해 보겠습니다!,2022.09.22
왕초보를 위한 캘리그래피,연수 잘 들었습니다.,5점,평소 배우고 싶었던 캘리그래피를 온라인으로 배울 수 있어 좋았습니다. 온라인의 한계는 있었지만 캘리그래피는 개인 연습이 필요한 부분이라 열심히 연습해보겠습니다. 좋은 연수 감사합니다.,2022.08.16
English Grammar in Use,알찬 시간이었습니다.,5점,저는 English Grammar in Use 2를 먼저 듣고 이번에 1을 듣게 되었습니다. 순서가 괜히 있는게 아니군요ㅎ 기본적이고 자주쓰이는 문법들로 구성이 되어 있으며 문법 표현의 미묘한 차이들을 실제 예문을 통해서 확인할 수 있어서 좋았습니다. 다시 이어서 2를 듣고 싶어지네요. 학생들에게 가르칠 때 많이 도움이 될 것 같습니다. 감사합니다.,2022.08.15
"김준우의 톡(Talk)톡(Talk)한국사, 한국사능력검정시험-근현대사",다시 살펴보는 근현대사,5점,"여름엔 연수데이~ 이벤트를 보고서 신청한 연수입니다. 근현대사 강의를 들으면서 다시 한번 정리할 수 있어서 좋았습니다. 또한 보내 주신 푸링클 세트로 가족과 화목한 시간도 가졌구요. ^^

강의 의견 나누기에서 흥선대원군의 통상 수교 거부 정책이 옳은 선택이었나? 아니면 잘못된 선택이었나?에 대하여 본인의 의견을 올리는 연수참여 시간이 있었는데, 반대 의견을 올리신 분이 계서서 저는 의도적으로 찬성 의견을 올리면서 나름 정리하여 찬성 주장도 해보기도 했습니다.
편하게 들을 수 있는 연수... 잘 들었습니다.~~^^",2022.08.15
메디컬 콘서트 1탄 - 현대인의 만성 질병,건강에 대한 기본 상식을 갖게 됨,5점,"우리가 잘못 알고 있는 의학 상식에 대해 바로 잡아 주고, 눈과 이비인후과, 피부 질환에 대한 의학 상식을 통해 건강 관리에 도움이 될 것 같다. 차시마다 보너스처럼 나오는 요가를 따라하면서 뭉친 근육이 풀렸다. 연수가 끝나도 계속해서 요가를 생활속에서 실천해서 건강한 몸을 갖도록 노력해야 겠다. 메티컬 콘서트 2탄도 수강하고자 한다.",2022.08.15
기후변화 이야기,기후변화의 심각성을 자각하게 되네요,5점,"안일하게만 여겨왔던 환경 문제와 심각성을 다시 한번 깨닫게 된 연수입니다.

학교에서 교과에 관련해서도 학생들에게 이야기하지만 정작 저 자신은 환경을 적극적으로 살피고 보호하는 편이 아니었는데 인간과 환경을 위해 이제 보호의 대상이 아닌 함께 공생해야 하는 관계로 환경을 이해하며 살펴야 할 것 같다는 생각이 드네요.

최근 발생하는 자연재해, 여름 철 장마철이 아님에도 발생하는 이상 기후 등 다양한 기후 변화에 좀 더 우리 모두 관심을 기울이며 최악의 상황이 도래하지 않도록 노력해야겠다는 생각이 드네요.

다른 분들과 학생들에게도 추천하고 싶은 연수입니다.",2022.08.15
정훈쌤의 뚝딱 칼림바,너무 재밌고 유익한 연수입니다.,5점,"평소 악기를 배우고 싶었던 찰나에 연수를 신청하고 대만족하고 있습니다.

코로나 시대에 정말 저에게 딱인 연수를 만나서 즐겁게 곰세마리를 익혔네요.

좀 더 난이도를 높여서 열심히 연습할게요.

악기를 연주하며 뭔가를 새롭게 배우며 오랜만에 즐거움을 느끼며 활력을 찾았습니다.

주변에 계신 선생님들께도 적극 추천했습니다.

앞으로도 좋은 연수 많이 기획해 주시고, 칼림바 연수 2도 기대해봅니다.",2022.08.15
메이슨의 패턴잉글리쉬,반복의 힘! 영어의 자신감을 갖게 되었습니다.,5점,"영어에 대한 두려움으로 평소 영어를 멀리하고 있었는데 패턴 잉글리쉬 연수 후 영어도 하면 되겠구나란 생각이 드네요.

더욱이 반복학습을 통해 떠듬거리지만 영어로 말하는 자신감도 붙었고요.

열심히 공부해서 아직 인사밖에 못하는 학교에 계시는 원어민 선생님과 적극적으로 소통하고 싶어요.

여름 방학 무더위에 지쳤었는데 즐거운 연수로 유익한 방학 보냈습니다. 감사합니다!",2022.08.15
메이슨의 Travel English,간접체험이지만 해외 여행 다녀온 것 같네요,5점,"코로나로 인해 방학이여도 비행기는 커녕 집콕 중이었는데 연수로나마 여행 기분도 내고 한동안 잊고 있던 영어 공부에 즐거운 시간이었습니다.

실제 여행에서 꼭 써 먹을 수 있기를 바라며 겨울 방학을 노려봐야겠네요.

연수 후 영어에 흥미가 생겨 앞으로 영어 공부 열심히 해야겠다는 생각이 드네요.

감사합니다!",2022.08.15
왕초보를 위한 캘리그래피,즐거운 연수,5점,부담없이 재미있게 배울 수 있는 연수입니다. 감사합니다.,2022.08.15
수업을 살리는 체육 레시피,나의 체육 수업을 살려준 레시피,5점,"유독 수업하기 어려운 과목이 있습니다. 저한테는 체육이 바로 그 과목입니다. 왜냐하면 저도 학생 때 체육 수업을 참 싫어했거든요. 제가 몸치여서요. 그래서일까, 학부생 때부터 체육 수업은 저에게 부담감으로만 다가왔습니다. 저 자체가 별로 체육을 좋아하지 않으니, 어떻게 수업을 해야 할지 막막하기만 할 따름이었거든요. 일회성 연수를 들어보기도 하고, 책을 읽기도 했지만 늘 흐지부지되기 마련이었어요.
그렇게 접하게 된 책이 연수로 나왔다는 소식을 듣고는 호기심에 신청해보았습니다. 가장 좋은 것은, 수업 장면을 날것 그대로 볼 수 있다는 점이었어요. 글로만 접했을 때는 뭘 어디서부터 어떻게 준비해야할지 막막했는데, 영상으로 수업 장면을 직접 보니 어떻게 진행해야 할지 감이 잡히더라구요.
그래서 이 연수에서 배운 내용을 일주일에 하나씩 실천해 보기로 마음먹고, 실제로도 실천 중입니다. 제 체육 수업을 살려주셔서 감사합니다 ㅎㅎ",2022.08.14
인성교육 연구보고서 작성법,인성연구대회에 대한 고민을 확신으로 바꿔준 연수!!,5점,"인성교육 연구대회는 가장 많은 선생님들이 참여하는 연구대회 중 하나입니다. 하지만 생각보다 대회에 관한 자료들을 찾기 힘들어 처음 도전하는 선생님들께 진입장벽이 높게 느껴지는 대회이기도 합니다. 운이 좋아 주변에 입상하신 분이 계신다면 좋겠지만 그렇지 않은 경우도 많고, 아무래도 연구자의 독창성이나 중요하다보니 대회 준비에 관해 선뜻 묻기도 쉽지 않습니다. 저 역시 마찬가지였습니다. 주변에서 그동안 해왔던 활동들이 아까우니 대회에 나가보라는 권유를 받게 되었고 이를 계기로 연구대회에 관심을 가지게 되었으나, 무엇을 어떻게 준비해야될지 몰라 많이 답답했습니다. 그러나 우연한 기회로 티셀파 연수원에서 인성교육 연구보고서 작성법에 관한 연수가 개설되어있는 것을 보았고 주저없이 바로 수강하게 되었습니다. 연수는 입상경력이 있는 공인된 선생님들께서 연구주제부터 보고서 작성법까지 하나하나 친절하게 설명해 주십니다. 연수를 듣다보면서 '이렇게 하는구나' 많이 깨달았습니다. 잘된 보고서들을 보며 어떤 점이 잘되었고 어떤 점은 보완해야되는지 말씀해주시는데 마냥 예쁘게 꾸며야 좋은 보고서라고 생각했던 저의 착각을 바로 잡아주셨죠. 또한 강사님께서 가지고 계신 꿀팁들도 아낌없이 나눠주셔서 대회 준비에 더 자신감이 생기게 됩니다. 연수를 듣기 전 연구대회에 대해 늘 물음표였던 저의 생각이 연수를 통해 느낌표로 바뀌었다는 것을 느꼈고 용기를 내어 올해 연구대회에 도전하게 되었습니다. 혹시 연구대회에 관심이 있으나 어떻게 준비해야될지 몰라 고민하신다면 지금 당장 연수를 들어보시는 것을 추천합니다!! 후회하지 않으실 거에요!!",2022.08.14
왕초보를 위한 캘리그래피,감사합니다.,5점,"미술시간에 활용하기 좋은 연수 잘 들었습니다.
감사합니다.",2022.08.13
기초영어 회화 핵심표현 Real Speaking 1,쉽고 재미있는 강의로 잊혀졌던 영어표현이 쏙쏙!,5점,영어 공부한지 한참 되니 생활에서 많이 쓰는 쉬운 표현도 잘 떠오르지 않고 입에서 맴도네요. 지루하지 않는 내용구성과 강의로 내 안의 영어표현들을 상기시키는 좋은 기회가 되었습니다.,2022.08.13
정훈쌤의 뚝딱 칼림바,칼림바에 대해서 잘 알게 되었어요!,5점,"칼림바가 생소한 악기였는데, 연수를 받고 나니 자신감 있게 연주할 수 있게 되어서 정말 기쁩니다.
학생들에게도 살포시 알려줄거에요^^",2022.08.12
나도 할 수 있다! 현장연구와 SPSS,현장 연구에 대한 자신감이 생겼습니다.,5점,"연구 대회에 나가고 싶다는 막연한 생각은 있었는데 주제는 어떻게 잡아야 하는지, 보고서는 어떻게 작성해야 하는지, 통계는 어떻게 해야하는지에 대한 구체적인 정보는 전혀 없었습니다. 그런데 이 연수에서는 그러한 부분에 대해 굉장히 상세히 설명해주고 또 최근 수상한 보고서를 실제 예시로 보여줘서 좋았습니다. 앞으로 연구 대회 준비에 많은 도움이 될 것 같습니다.",2022.08.11
"기후 변화 이야기, 교실에 오다",기후변화 이제 남의 일이 아니다,5점,"기후 변화라고 하면 가뭄과 폭염, 홍수, 산불 등으로 재난을 겪는 다른 나라의 이야기라고만 생각하기 쉽다. 하지만 올 여름 중부지방에 쏟아져내린 상상을 초월한 폭우는 우리 코앞에 이상 기후로 인한 재난 상황이 갑작스럽게 벌어질 수 있다는 것을 보여준다. 그리고 그 원인은 다름 아닌 인간이 조금 더 편하게 살기 위해 행한 모든 일련의 생산, 경제 활동이 초래한 것이라 할 수 있다. 이제 우리에겐 이것을 되돌릴 시간이 정말 얼마 남지 않았다는 것을 다시 한 번 깨닫게 해주는 연수였으며 아이들과의 수업에 기후 변화가 나와 우리의 삶에 얼마나 밀접하게 연결되어 있는지 이야기 해주고 싶다.",2022.08.11
옆반 쌤이 알려주는 꿀팁(온라인 수업편),너무너무 유익했어요 ㅎ,5점,너무너무 유익해서 잘 활용하고 있습니다 ㅎ,2022.08.11
수업을 살리는 체육 레시피,다시 배우는 체육수업,5점,"매년 고학년을 하다 4학년을 올해 처음 맡게되었습니다 고학년을 가르칠 때는 항상 체육전담선생님이 계셔서 체육에 대한 부담이 전혀 없었는데 중학년으로 내려오니 체육전담이 없어졌습니다. 아이들이 좋아하는 과목은 항상 압도적으로 '체육'이 1위인데 막상 가르치려하니 갓 선생님이 된 것처럼 막막했습니다 '수업을 살리는 체육 레시피'강의는 그런 의미에서 저에게 굉장히 도움이 되었습니다 휘황찬란한 새로운 교구들 없이 체육준비실, 교실에 있는 도구들로도 충분히 즐거운 수업을 진행할 수 있었습니다. 아이들도 행복하고 교사도 즐거운 체육수업을 만들어 주셔서 감사합니다! 매시간 체육수업이 고민인 선생님들께 강력추천합니다!",2022.08.10
같이 읽고 함께 나누는 독서수업방법,즐거운 독서 시간을 만들기 위한 방법 탐구의 시간,5점,"독서의 즐거움과 중요성을 교사인 저는 알고 있어, 독서가 중요하다고 아이들에게 잔소리처럼 말하지만 특별한 방법이 없어 고민이었습니다. 이 연수를 통해 독서 전,후 활동에 대한 신박한 팁을 얻어갑니다. 즐거운 아침 독서 시간을 만들어 갈 수 있을 것 같아요.",2022.08.10
지리와 함께하는 인문학 티타임,지리와 연계한 연수 좋았어요,5점,"평소 지리에 대해 관심이 많았고 여행하는 것을 좋아하는데, 지형에 대해 자세한 설명과 지리에 얽힌 역사에 대해 알게 되어 좋았습니다. 또한 문학 작품속에 있는 지리적 내용과 인문학을 연결시킨 점도 좋았습니다. 새로운 시선에서 문학 작품을 느끼게 되었습니다. 학교 현장에서 학생들과 작품을 읽어보며 독서토론을 하기 좋은 것 같습니다.",2022.08.10
그림검사와 다양한 기법으로 만나는 미술치료,아이들에게 다양한 재료 중 선택의 기쁨을 줄 것,4점,아이들이 자신에게 필요한 것을 가지려고 하는 선택의 기쁨을 주고 아이들의 욕구를 충족 시킬 수있는 재료에 동감 했습니다.,2022.08.10
세상에서 제일 쉬운 과학 이야기,어렵지만 재미있는 강의,5점,"과학은 어렵게만 느껴졌는데 교수님의 이야기를 듣다보니 나도모르게 빠져들어서 듣게 됩니다. 스토리텔링처럼 풀어서 설명해주시니 부담없이 편하게 들을 수 있었고, 과학 전반의 흐름에 대한 이해도 잘 되었습니다. 과학과 관련해 깊이 있는 내용의 강의를 들을 기회가 별로 없었는데.. 내용이 어려워 다 이해한 건 아니지만 오랜만에 수준 높은 강의를 들어 흥미로웠습니다.",2022.08.09
시간을 걷는 인문학,길에 대한 새로운 인식,5점,"아무생각 없이 걷던 길의 정치적, 경제적 해석부터 도로나 댐, 운하, 터널들이 환경에 미치는 영향까지 깊이 생각하게 되는 연수였어요~",2022.08.09
그림검사와 다양한 기법으로 만나는 미술치료,활용할 수 있는 많은 정보와 방법을 알려 주셔서 감사합니다.,5점,어항에 물고기 그려 아이의 가족과의 유대관계를 알아보는 것을 통해 미술 치료에 대해 관심을 갖게 되었다. 나름대로 책도 읽어봤는데 쉬운 내용이 아니라 그것만으로는 많이 부족하구나라고 느끼면서 이 관련된 연수가 있으면 좋겠다는 생각을 하던 중 이 곳에서 내가 원하는 그 연수를 만나게 되어 너무 좋다. 책으로만 읽는 것보다 강사가 사례를 통해 설명과 전달력은 이번 여름방학 연수 중 가장 의미있는 연수인 것 같다.,2022.08.09
왕초보를 위한 캘리그래피,진짜 재밌는 연수였어요.,5점,막연하게 배우고 싶었던 캘리그래피 연수를 이번 여름방학게 이수하게 되어 정말 기뻐요. 강의를 들으면 천천히 따라하다보니 어느새 15강을 다 듣게 되었고 제 곁에는 다양한 작품이 남게 되었네요. 기대이상으로 재미있었고 따라하기 쉬웠던 연수였어요. 앞으로도 꾸준히 심화연수를 받고 싶은 생각이 듭니다. 무덥고 힘들었던 여름을 캘리그래피 연수로 힐링하며 잘 보냈습니다. 고맙습니다.,2022.08.09
손그림과 파워포인트로 교실 속 콘텐츠 만들기,차근차근 설명해 주셔서 이해하기가 쉬워요,5점,필요한 아이템도 연수시 같이 보내주셔서 많이 도움이 되었습니다. 감사합니다.,2022.08.08
SNS 잉글리시 톡,SNS에서 사용하는 살아있는 영어를 접할 수 있는 강의,5점,SNS에서 사용하는 영어는 교과서와 일반 회화에서 접하는 영어와 달리 실제 살아있는 영어를 접할 수 있는 좋은 강의였습니다. 수업시간에 한 두가지씩 아이들에게 소개하니 아주 재미있어했어요~,2022.08.08
독립운동 현장읽기 - 의병전쟁,의병과 관련한 새로운 내용을 알게 되어 좋았습니다.,5점,의병과 관련한 새로운 내용을 알게 되어 좋았습니다. 5학년 사회 역사 수업할 때 많은 도움이 될 것 같습니다. 감사합니다.,2022.08.08
"이구동성, 마음을 다루는 미술활동",반성,5점,"학생의 그림을 보고 심리 상태를 이해할 수 있게 되었습니다. 아울러 그림 속의 저를 보고, 지도방식을 많이 반성하였습니다. 더 나은 교사가 되리라 다짐하였습니다.",2022.08.08
성호쌤과 함께하는 랜선 박물관 여행,깔끔하고 정갈하니 좋습니다.,5점,평소에 궁금했던 다양한 박물관들이게 대해 잘 알 수 있는 시간이 되었습니다. 강사님의 차분하고 편안한 말투가 강의를 더욱 빛나게 해준 것 같습니다. 주변에서 늘 관심을 갖고 찾아보면 많이 있는 우리 박물관들을 이번 연수 수강을 계기로 자주 찾아가며 공부할 수 있는 유익한 시간을 가지고자 합니다. 많은 선생님들도 본 연수를 수강하시어 저와 같은 마음을 가지시면 좋을 것 같습니다.,2022.08.08
왕초보를 위한 캘리그래피,캘리그라피로 힐링,5점,캘리그라피 수업 정말 재밌어요!! 준비물까지 챙겨주니 따로 챙길 것이라면 나의 똥손과 캘리그라피를 쓰기 위한 마음의 준비!! 강사 선생님이 캘리를 쓰는 것을 보는 것만으로도 이 더운 여름 마음이 참 차분해지고 좋아요 ^^ 다음에는 30시간까지 캘리그라피 수업도 있으면 좋겠어요!!!,2022.08.05
정훈쌤의 뚝딱 칼림바,이보다 더 좋은 칼림바 연수는 없당~~,5점,"처음 칼림바를 배워봅니당!
생각보다 어려워서 따라가는 것이 쉽지는 않았지만 배우는 재미가 쏠쏠했습니당.
속도를 느리게 조절하는 저배속이 있었다면 같이 연습할 수도 있었을텐데라는 아쉰마음도 있었지만, 열심히 연습을 해야하는 것밖에 없다는 생각도 들었습니다.
악보 만들기도 너무 신세계입니당~~ 학생들에게 가르칠 수 있도록 알려주신 것 같아용~~
다음엔 칼림바연수를 상 하 2수준으로 나눈 것이 있다면 다시 듣고 싶어용~~",2022.08.05
"과학저술가 정인경, 이지유와 함께하는 신나는 과학수다",교과서 속 과학을 신나는 수다로!,5점,"오랜만에 과학 교과를 가르치며, 잊고 있었던 과학에 대한 호기심이 다시 생겨 신청한 연수입니다.
신나는 과학 수다라고 해서 어떤 방식으로 운영될까 궁금했는데 알뜰신잡처럼 정말 재미있게 수다로 풀어주는 강의라 정말 재미있게 들을 수 있었습니다.
우리 생활 속 과학에 대한 다양한 이야기를 딱딱한 이론이 아닌 과학저술가들의 대화를 통해 쉽게 익힐 수 있도록 하여 내용이 귀에 쏙쏙 들어옵니다.
저도 같이 커피 한 잔 마시면서 대화에 참여하는 기분이 들기도 하구요!
그리고 과학적 지식이 중점이 아닌 그 탐구 과정에 초점을 맞추어 대화를 이어나가는 점이 인상깊었습니다.
이 연수에서 들은 내용을 그대로 아이들에게 이야기로 풀어 설명해줬더니 아이들이 굉장히 즐거워하더라구요ㅎㅎ
과학 분야에 흥미 있으신 선생님이시라면 꼭 한 번 들어보시길 추천합니다!",2022.08.05
"상상을 실천으로, 삶을 바꾸는 사회 수업 이야기",사회 교과 특성 이해에 도움이 되었어요.,5점,"교과서에 소개되기도 했던, 강사님의 수업 적용 사례를 들으니 교과서를 해석하는 관점을 새롭게 가지게 되었습니다.
학생 실천 중심, 문제해결 중심의 사회 교과 특성을 잘 이해하게 되었습니다.",2022.08.04
English Grammar in Use 2,영어 말하기까지 되는 그래머 시리즈,5점,오래전에 English Grammar in Use 시리즈를 책으로 공부하던 기억이 있어서 리프레쉬하는 목적으로 가볍게 신청하게 되었습니다. 그런데 1강 2강 들으면서 더 진지하게 빠져들어 문제를 풀고 있는 제 자신을 보며 ~오~ 이게 얼마만에 열공하는 진지한 모습인가! 스스로 칭찬하면서 ~ 체계적인 강의와 셀프 점검 시스템에 감사드립니다^^,2022.08.04
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),초등3~4 새 교과서 필수 연수,5점,"작년에 국정으로 4학년, 올해 티셀파 수학으로 4학년을 연속으로 2년 4학년 가르치는 중입니다. 이제야 수학 시간에 학생들에게 덜 미안하고^^ 즐거운 수학시간이라는 피드백도 듣고 있습니다. 자료도 풍부하지만 구성과 편집도 넘 좋아요. 아이들이 2학기 교과서 표지 색깔만 보고 넘 예쁘다고 흥분흥분^^ 그런 아이들의 기대감을 업고 2학기를 더 잘해보고자 연수 들었는데~ 무료라 절대 무시할 컨텐츠 아니고 2학기를 더욱 알차고 재미있게 가르칠 수 있겠다는 자신감을 주는 연수였습니다.",2022.08.04
초등 저학년 남학생 탐구생활,1~2학년 담임 필수 연수,5점,3년은 연속으로 1학년을 맡으면서 너~무 힘들었던 남자아이들!! 왜 저런 행동을 할까? 왜 저렇게 말하지? 왜 가만히 한시도 못 있고 몸이든 입이든 먼저 움직이는 걸까? 나의 여성성으로는 도저~히 이해 못할 일들을 이 연수를 통해 이마 팍~ 치는 깨달음을 얻었다면 믿으실까요? 넘 좋아서 동학년 샘들한테 전파했더니 남자아이를 자녀로 둔 선생님께서도 이마를 팍~ 치셨다는 후기를 전해들었습니다~,2022.08.04
교과수업에 활용하는 진로교육,연수후기,5점,실질적 상담에 도움이 되는 꿀팁을 얻었어요!,2022.08.04
"기후 변화 이야기, 교실에 오다",기후 변화 이야기를 정말 교실로 불러올 수 있을 것 같아요.,5점,"요즘 학교 현장에서는 기후 변화와 관련하여 생태전환교육이 주목받고 있습니다. 그런데 막상 생태전환교육을 하려고 보니 어디서부터 시작해야할지, 어떤 활동을 어떤 방법으로 해야할지 막막했습니다. 이 연수를 듣다 보니 교사가 먼저 기후 변화의 심각성을 인지하고 학생들도 더이상 환경 문제를 북극곰의 삶의 터전의 문제만이 아닌 우리의 삶 속에서 인식할 수 있도록 해야 한다는 생각이 들었습니다. 학교 현장에서 학생들과 함께 이야기해 보고 실천해 볼 수 있는 다양한 아이디어도 얻었습니다. 또한 연수 과정에서 언급되었던 '침묵의 봄'이라는 책도 꼭 읽어보고 싶습니다.",2022.08.04
"기후 변화 이야기, 교실에 오다",너무나 도움이 된 연수입니다. 고맙습니다.,5점,다소 생소한 부분이라 연수를 통해 먼저 배워본 후 아이들에게 2학기 수업 때 적용해 보고 싶습니다. 너무나 많은 도움이 되었습니다. 고맙습니다.,2022.08.03
수업을 살리는 미술 레시피,추천해요,5점,"미술시간은 아이들이 가장 기다리는 시간인데, 교과서에 있는 활동은 좋은 것도 있지만 주어진 시간 안에 완성하기 어렵거나 좀 지루한 것들도 있어서 미술수업만큼은 주변 선생님들이나 인디스쿨 등의 자료를 많이 활용하는 편이었습니다. 이번 강의를 통해 실제적으로 활용가능한 수업 아이디어와 수업 진행 방법 등을 자세히 알 수 있었어요.",2022.08.03
손그림과 파워포인트로 교실 속 콘텐츠 만들기,원격수업 준비를 위한 한걸음!,5점,"수업내용을 글로만 전하거나 자료로만 전하면
자칫 수업이 단조롭거나 지루해지더라구요.....

그상황에 딱 맞는 그림이나 자료를 찾는 시간도 많이 들고...
손그림을 적용하면 지루한 수업시간에
학생들의 주의 환기에 딱 입니다!!!!

잘 못그리는 손이었는데
연수들으면서 제공해주신 교구와
연수를 들으면서 연습을했더니....

어느정도 알아보는 정도?! ㅋㅋㅋㅋ
물론 아주 뛰어나게 실력이 향상된다는 아니지만

수업을 유쾌하게 이끌고 학생들의 이목을 집중시킬 정도는 됩니다!!!!

그림못그려도 괜찮아요~ 연수듣고 연습하면 됩니다!!!!!",2022.08.03
독립운동 현장읽기 - 의병전쟁,의병전쟁 완전 정복,5점,"제가 평소에 역사에 관심이 많고 5학년 2학기 사회가 역사로 구성되어 있어서 틈이 날때 역사 연수를 많이 듣는 편입니다. 이 연수는 독립 운동 중 주로 의병에 대해 다루는 연수인데, 의병장과 의병전쟁에 대해 아주 자세히 다루고 있어서 많은 도움이 되었습니다. 그동안 잘 알지 못했던 의병장도 많아서 생소하긴는 했지만 평소 역사에 관심이 많은 분이라면 도움이 많이 될 것입니다.",2022.08.02
나도 할 수 있다! 현장연구와 SPSS,막막했던 연구보고서 작성의 단비같은 연수,5점,"어느 정도 교직경력이 쌓이고 매너리즘에 빠지는 시기에는 연구보고서 작성에 대한 생각이 자연스럽게 나는 것 같아요. 그때 티셀파 원격교육연수원에서 접하게 된 현장연구와 SPSS는 막연했던 연구보고서 작성에 기초 로드맵을 제시해주는 단비같은 연수였습니다. 특히 초,중등 과목별, 특수, 인성 등의 분과를 모두 다루는 연수라 여러 시각으로 다양한 연구보고서 사례를 접할 수 있어 매우 유용했습니다. 특히, 대학교 이후로 접할 기회가 많이 없었던 SPSS에 대해 꼭 필요한 부분만 알기 쉽게 다루어주셔서 좋았습니다. 짧은 여름방학에 이런 유용한 연수 들을 수 있어서 뜻깊은 시간을 보낼 수 있었어요.",2022.08.01
"상상을 실천으로, 삶을 바꾸는 사회 수업 이야기",사회수업 연수 후기,5점,6학년 사회를 하면서 설명해야하는 개념이 너무 많다보니 교사인 저는 신나게 설명하는데 그 설명을 듣는 학생들의 표정은 좋지 않았습니다. 하지만 결국 사회란 학생들이 자신의 삶 속에서 그 개념을 찾고 실천 하는 것이 가장 중요하다는 것을 다시 한번 생각하게 하는 연수였습니다.,2022.08.01
손그림과 파워포인트로 교실 속 콘텐츠 만들기,손그림 자신이 없었는데 도전해봐야겠습니다.,4점,손그림에 자신이 없었는데 연수를 듣고 차근차근 해보고 싶은 생각이 들었습니다.,2022.08.01
기후변화 이야기,기후변화이야기를 공부하고 나서,5점,기후변화 ... 예전보다 많이 방송되고 몸으로 체감하고 있어서 심각하다고는 생각하고 있었는데 연수를 통해 그 심각성을 다시 한번 진지하게 생각해보는 시간이었다. 하지만 지구에 사는 인류 전체가 기후위기에 대응하지 않으면 인류가 이 위기를 잘 넘어가기는 어렵다고 생각한다. 그래서 교육의 힘을 다시한번 절실히 느끼는 시간이었다. 간절히 바래본다. 인류가 이 위기를 잘 헤쳐나가 다시 지구와 지구인의 전성기를 다시 맞이하기를 바래본다.,2022.08.01
세상에서 제일 쉬운 과학 이야기,과학적 소양 뿜뿜,5점,"연수덕분에 과학적 소양이 늘어났어요
유익한 연수 감사합니다:)",2022.08.01
수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),"유익한 연수, 강력추천합니다!!",5점,"2학기를 알차게 준비하기로 여름방학을 계획하고 티셀파연수로 시원한 방학을 보내고 있습니다. 과학교과전담이 사라지면서 과학실험과 교과내용을 좀 더 효과적으로 수업하기 위해 받은 연수인데 기대 이상으로 알찬 연수였습니다.
2학기를 시작하는데 든든한 지원군을 선물받는 것 같아 감사하고 적극 추천드립니다!!",2022.08.01
English Grammar in Use,차분한 설명과 적당한 양이 좋았어요~,5점,부담 없는 양과 쉬운 설명으로 듣기 편해서 좋았습니다. 고맙습니다.,2022.07.31
온작품 읽기와 그림을 활용한 깊이 있는 수업,유익해요,5점,온작품 읽기에 활력소와 재미가 더해진 느낌이에요,2022.07.31
수업을 살리는 꿀팁 레시피,꿀팁 꿀잼,5점,수업을 위한 기초부터 응용까지 여러가지 꿀팁이 가득해요,2022.07.31
기초영어 회화 핵심표현 Real Speaking,영어에 대한 자신감이 뿜뿜! 만족감도 업!,5점,"영어 왕초보자라 영어 연수를 그닥 좋아하진 않았습니다. 하지만 이번에 방학을 맞아 연수를 찾으며 '기초영어' 라는 부분과 '핵심표현'이라는 제목 부분이 마음에 들어 연수를 신청해서 들었습니다. 제목 그대로 영어 왕초보도 가볍게, 즐겁게 들을 수 있는 연수입니다. 영어에 대한 자신감이 올라갑니다. 저처럼 왕초보 분들께 추천합니다! ^^",2022.07.31
